Timestamp;Open;High;Low;Close;Volume (BTC);Volume (Currency);Weighted Price
2017-06-07 00:00:00;2875.71;2893.28;2612.5;2683.03;16967.04;47205426.44;2782.18
2017-06-08 00:00:00;2680.24;2815;2613.13;2806;13251.41;36430027.3;2749.14
2017-06-09 00:00:00;2805.46;2868.23;2780.43;2822.32;8036.31;22701156.24;2824.82
2017-06-10 00:00:00;2818;2912.98;2800;2899.99;9593.36;27434766.12;2859.77
2017-06-11 00:00:00;2899.01;2967.46;2861.53;2954.22;6830.61;19889995.68;2911.89
2017-06-12 00:00:00;2954.23;2980;2480.03;2667.06;31534.95;85799286.22;2720.77
2017-06-13 00:00:00;2656.97;2783.62;2638.62;2703.02;16275.83;44217458.2;2716.76
2017-06-14 00:00:00;2705.99;2801;2320;2450;29478.82;76114991.86;2582.02
2017-06-15 00:00:00;2451.42;2516.2;2120;2424.91;36751.09;84952914.56;2311.58
2017-06-16 00:00:00;2424.96;2540;2307.66;2484.68;13802.39;33831741.34;2451.15
2017-06-17 00:00:00;2484.68;2674.4;2420.53;2630;11142.99;28569796.41;2563.93
2017-06-18 00:00:00;2630.06;2665;2460.62;2516.98;9424.23;24023680.66;2549.14
2017-06-19 00:00:00;2516.98;2598;2480.96;2598;10570.67;27011860.51;2555.36
2017-06-20 00:00:00;2598;2783;2581;2740;15891.7;42538164.74;2676.75
2017-06-21 00:00:00;2734.03;2789;2611;2657.04;15676.32;42304860.31;2698.65
2017-06-22 00:00:00;2658.67;2740;2594.61;2713.48;10792.79;28955845.86;2682.89
2017-06-23 00:00:00;2713.48;2745;2657.46;2685.05;8232.48;22348019.56;2714.62
2017-06-24 00:00:00;2685.05;2724.96;2512.13;2557.66;13342.82;34944802.73;2619
2017-06-25 00:00:00;2557.66;2635.72;2432;2502.03;10339.57;26249953.89;2538.78
2017-06-26 00:00:00;2502.26;2550.03;2315.01;2421.22;22094.21;54096000.65;2448.42
2017-06-27 00:00:00;2421.21;2565;2291;2565;19129.6;45774590.05;2392.87
2017-06-28 00:00:00;2565;2593;2468.01;2559.9;12274.55;31106035.77;2534.19
2017-06-29 00:00:00;2550.99;2594.78;2500.31;2541.59;8125.38;20771078.34;2556.32
2017-06-30 00:00:00;2538.41;2564.58;2451;2465.49;8715.72;21948643.03;2518.28
2017-07-01 00:00:00;2465.48;2517.11;2390;2412.41;8885.89;21750491.24;2447.76
2017-07-02 00:00:00;2421.3;2528.72;2374.34;2504.37;8744.53;21386273.68;2445.67
2017-07-03 00:00:00;2504.81;2595;2472.68;2550.47;11520.71;29213705.74;2535.76
2017-07-04 00:00:00;2540.07;2639.47;2540.07;2596.12;9662.76;25107482.88;2598.38
2017-07-05 00:00:00;2594.52;2623;2530.1;2602.9;10882.84;27950344.7;2568.3
2017-07-06 00:00:00;2598.37;2614;2522;2600.39;8333.98;21529601.71;2583.35
2017-07-07 00:00:00;2599.01;2605;2475;2501.46;9430.62;23870564.36;2531.18
2017-07-08 00:00:00;2501.46;2555;2462;2550.07;5405.89;13584489.52;2512.9
2017-07-09 00:00:00;2550.13;2564.65;2500.5;2502.28;4483.14;11362427.97;2534.48
2017-07-10 00:00:00;2504;2527.88;2261.85;2323.45;17296.34;41650843.77;2408.07
2017-07-11 00:00:00;2326.12;2399;2242.62;2305.98;17580.96;41145883.94;2340.37
2017-07-12 00:00:00;2301.55;2408.84;2239.54;2388;12883.55;30256255.57;2348.44
2017-07-13 00:00:00;2383.97;2425.16;2312.93;2339.99;8429.85;19957908.68;2367.53
2017-07-14 00:00:00;2340;2357.84;2140;2213.37;12659.02;28326253.11;2237.63
2017-07-15 00:00:00;2209.44;2219.99;1967.65;1970.51;19886.68;40927009.37;2058.01
2017-07-16 00:00:00;1970.51;2044.44;1830;1917.63;25562.71;49010482.23;1917.27
2017-07-17 00:00:00;1917.72;2229.97;1910.57;2226;26448.5;55057438.35;2081.68
2017-07-18 00:00:00;2226;2392;2164;2303.71;25204.49;57683997.07;2288.64
2017-07-19 00:00:00;2308.82;2402.5;2223;2265.21;17009.88;39248446.86;2307.39
2017-07-20 00:00:00;2265.51;2938;2265.51;2875.03;30989.89;80388738.23;2594.03
2017-07-21 00:00:00;2880;2887.45;2611.39;2670;20724.16;56456355.34;2724.18
2017-07-22 00:00:00;2667.01;2882;2644.59;2832.71;12819.63;35805144.41;2792.99
2017-07-23 00:00:00;2824.82;2855;2640;2749.02;11001.96;30310788.74;2755.03
2017-07-24 00:00:00;2756.8;2800;2701;2759.98;10001.92;27562701.02;2755.74
2017-07-25 00:00:00;2759.95;2775.79;2450;2564.82;21326.55;55120720.9;2584.61
2017-07-26 00:00:00;2564.74;2608.96;2400;2524.99;17713.67;44091449.21;2489.12
2017-07-27 00:00:00;2524.99;2695;2509.63;2666.33;11826.48;30470923.86;2576.5
2017-07-28 00:00:00;2666.33;2825;2655.82;2777.01;14069.5;38675840.62;2748.91
2017-07-29 00:00:00;2777.01;2785.65;2631.78;2680.56;10782.22;29159800.95;2704.43
2017-07-30 00:00:00;2681.6;2774.45;2569.69;2742.37;9678.16;25848893.08;2670.85
2017-07-31 00:00:00;2745.76;2889.99;2680.01;2855.81;11114.34;30777296.21;2769.15
2017-08-01 00:00:00;2855.81;2929.17;2615;2731;12525.08;34322796.56;2740.33
2017-08-02 00:00:00;2732;2760;2650;2703.51;9486.63;25701106.1;2709.19
2017-08-03 00:00:00;2703.51;2807.44;2698.83;2793.37;7963.7;21938304;2754.79
2017-08-04 00:00:00;2793.34;2877.52;2765.91;2855;7635.82;21650087.64;2835.33
2017-08-05 00:00:00;2851.01;3339.66;2848.32;3263.62;16996.27;53861926.03;3169.04
2017-08-06 00:00:00;3263.51;3296.51;3146.1;3222.75;5998.74;19412655.97;3236.12
2017-08-07 00:00:00;3216.78;3430;3186;3387.55;12046.12;40225852;3339.32
2017-08-08 00:00:00;3387.54;3490;3300;3412.41;15835.37;54054824.25;3413.55
2017-08-09 00:00:00;3408.46;3423.1;3178.72;3342.99;14286.84;47356464.4;3314.69
2017-08-10 00:00:00;3342.99;3448;3311.17;3413.03;9031.12;30658440.51;3394.75
2017-08-11 00:00:00;3410;3705;3390.67;3645.06;11927.37;41888022.26;3511.92
2017-08-12 00:00:00;3651.74;3934;3586.95;3855.1;12351.07;46799798.4;3789.13
2017-08-13 00:00:00;3855.04;4190;3841.71;4053.87;15889.83;63672103.45;4007.1
2017-08-14 00:00:00;4053.87;4329.43;3964.96;4306.23;14212.3;59836002.81;4210.15
2017-08-15 00:00:00;4320.95;4400;3800;4155.67;25515.72;104651369.05;4101.45
2017-08-16 00:00:00;4154.99;4379.78;3926.06;4378.84;12923.64;54194325.8;4193.43
2017-08-17 00:00:00;4361.99;4480;4167.21;4276.5;14573.19;63228604.19;4338.69
2017-08-18 00:00:00;4260.47;4368;3964.96;4100;17516.99;73224029.24;4180.17
2017-08-19 00:00:00;4100;4188;3900;4099.55;15036.18;60604905.58;4030.6
2017-08-20 00:00:00;4091.99;4125.95;4000;4058.68;6237.97;25289638.6;4054.14
2017-08-21 00:00:00;4058.64;4080;3949.78;3987.52;9782.06;39203908.96;4007.74
2017-08-22 00:00:00;3987.51;4139.31;3600;4085;23522.76;91600325.72;3894.12
2017-08-23 00:00:00;4078;4248.97;4051.94;4108.12;14979.4;62117291.56;4146.85
2017-08-24 00:00:00;4121.78;4350;4082.57;4300.34;10782.69;45174068.67;4189.5
2017-08-25 00:00:00;4308.8;4449.98;4270;4355.98;9699.61;42274063.39;4358.33
2017-08-26 00:00:00;4348.17;4369.78;4232.43;4333.38;6559.67;28227915.28;4303.25
2017-08-27 00:00:00;4333.38;4393.3;4290.32;4337.68;3979.12;17263967.23;4338.63
2017-08-28 00:00:00;4329.91;4399.72;4169.01;4379.99;8641;37077203.39;4290.85
2017-08-29 00:00:00;4385;4649.78;4336.26;4578.82;11879.64;53491168.4;4502.76
2017-08-30 00:00:00;4578.82;4642.22;4479;4573.2;8720.04;39800539.16;4564.26
2017-08-31 00:00:00;4573.15;4765.21;4566.66;4734.26;8911.41;41726210.49;4682.33
2017-09-01 00:00:00;4734.26;4935;4671.09;4921.7;15367.53;73889667.5;4808.17
2017-09-02 00:00:00;4921.71;4979.9;4488.5;4599.9;16977.79;79492706.8;4682.16
2017-09-03 00:00:00;4599.9;4700;4385;4606.26;11224.91;51112035;4553.45
2017-09-04 00:00:00;4603.68;4613.97;4058.5;4277;25069.13;107792606.94;4299.82
2017-09-05 00:00:00;4282.53;4474.88;4001.93;4396.52;20884.22;88444473.15;4234.99
2017-09-06 00:00:00;4397.38;4649.23;4356.42;4605.8;16634.1;75306805.37;4527.25
2017-09-07 00:00:00;4605.81;4674.34;4475;4615;9254.85;42435328.99;4585.2
2017-09-08 00:00:00;4615;4679.97;4125.99;4312;23693.3;103569423.2;4371.25
2017-09-09 00:00:00;4327.41;4379.78;4164;4308.72;9974.39;42689334.62;4279.9
2017-09-10 00:00:00;4322.44;4322.44;4010;4226.22;14724.2;61040452.05;4145.59
2017-09-11 00:00:00;4226.21;4353.49;4092.4;4207.31;11191.6;47148979.98;4212.89
2017-09-12 00:00:00;4198.89;4377.65;4080;4172.56;13294.44;56268039.79;4232.45
2017-09-13 00:00:00;4170.6;4179.14;3720.01;3865.34;29636.38;115516897.12;3897.81
2017-09-14 00:00:00;3861.89;3921.74;3210;3227.79;41319.4;146101729.73;3535.91
2017-09-15 00:00:00;3227.79;3820;2972.01;3700.01;60278.95;203168385.98;3370.47
2017-09-16 00:00:00;3699.89;3872.9;3500;3678.93;23158.23;84905914.76;3666.34
2017-09-17 00:00:00;3669.07;3772.52;3463;3662.99;11770.22;42657776.56;3624.21
2017-09-18 00:00:00;3662.95;4122.7;3659.42;4101.6;17207.6;67988469.46;3951.07
2017-09-19 00:00:00;4102;4119.7;3848.35;3888.8;15278.93;60404491.57;3953.45
2017-09-20 00:00:00;3888.8;4050;3820.56;3874.46;11660.27;45847238.86;3931.92
2017-09-21 00:00:00;3864;3914;3573;3617.05;17904.3;67012342.18;3742.81
2017-09-22 00:00:00;3607.83;3761.84;3514;3612.18;15007.74;54271184.82;3616.21
2017-09-23 00:00:00;3611.91;3810.25;3552;3779.17;10123.23;37609099.77;3715.13
2017-09-24 00:00:00;3781.13;3783.25;3615;3664.22;6508.72;24009707.82;3688.85
2017-09-25 00:00:00;3667.01;3968.59;3658.39;3918;14979.78;57632408.09;3847.35
2017-09-26 00:00:00;3920.66;3970;3850.61;3888.03;10014.62;39220959.7;3916.37
2017-09-27 00:00:00;3883.95;4226.73;3870;4199.29;15075.84;61255648.53;4063.17
2017-09-28 00:00:00;4202.34;4270.01;4123.5;4184.84;9625.93;40309035.77;4187.55
2017-09-29 00:00:00;4183.47;4227.62;4022.02;4164.82;12191.93;50336312.65;4128.66
2017-09-30 00:00:00;4162.04;4349;4154.28;4326.09;7496.78;32073448.82;4278.3
2017-10-01 00:00:00;4326.09;4377.22;4216;4377.22;7211.34;30871704.79;4281
2017-10-02 00:00:00;4369.33;4453;4352;4391.48;8259.82;36293751.01;4394.01
2017-10-03 00:00:00;4391.41;4425;4218;4315.83;12468.06;53551605.48;4295.1
2017-10-04 00:00:00;4315.73;4343;4170.07;4219.53;8518.99;36068254.94;4233.86
2017-10-05 00:00:00;4219.74;4358.97;4137.96;4301.09;8419.96;35912272.84;4265.13
2017-10-06 00:00:00;4301.09;4425;4278.4;4362.95;8377.3;36552658.15;4363.3
2017-10-07 00:00:00;4356.09;4463;4312.82;4423.3;4646.41;20320065.24;4373.29
2017-10-08 00:00:00;4422.72;4612;4404.5;4597.98;10083.87;45490443.57;4511.21
2017-10-09 00:00:00;4597.97;4865;4541;4764.7;12923.67;60473207.29;4679.26
2017-10-10 00:00:00;4761.67;4909.97;4700;4749.29;11666.02;56088789.35;4807.87
2017-10-11 00:00:00;4747.9;4869.78;4700;4822.01;9866.9;47256315.42;4789.38
2017-10-12 00:00:00;4822.01;5445;4793.66;5445;19916.23;102559923.23;5149.57
2017-10-13 00:00:00;5444;5846.43;5380;5653.6;27827.38;155848051.87;5600.53
2017-10-14 00:00:00;5653.58;5817.34;5558.26;5801.29;8410.94;47779356.45;5680.62
2017-10-15 00:00:00;5795.01;5830;5415;5679.7;11542.95;64464008.42;5584.71
2017-10-16 00:00:00;5683.92;5807.11;5548;5745.72;9066.8;51508749.11;5681.03
2017-10-17 00:00:00;5752.2;5776.31;5506.78;5597.31;9105.28;51035573.57;5605.05
2017-10-18 00:00:00;5591.97;5617.75;5101.36;5582.05;18961.68;101657249.58;5361.2
2017-10-19 00:00:00;5572.64;5735.14;5512.06;5698.69;9919.84;56087316.56;5654.06
2017-10-20 00:00:00;5700;6074;5589.8;5977.29;15109.06;89014299.88;5891.45
2017-10-21 00:00:00;5977.26;6180;5871;6013.46;15357.42;92912504.83;6050.01
2017-10-22 00:00:00;6010.85;6071.07;5700;5969;12232.52;71898806.16;5877.68
2017-10-23 00:00:00;5967.38;6045.34;5617.75;5871.17;15331.64;89530043.16;5839.56
2017-10-24 00:00:00;5869.82;5870;5453.01;5523.4;17286.72;97560230.19;5643.65
2017-10-25 00:00:00;5518.49;5748;5366;5735.88;12349.11;68370411.13;5536.47
2017-10-26 00:00:00;5741.35;5988;5683;5890;11788.3;69079451.81;5860
2017-10-27 00:00:00;5889.99;5994.06;5674.06;5771.89;11911.04;69053794.44;5797.46
2017-10-28 00:00:00;5773.03;5875.66;5646.18;5730.69;5926.3;33993472.69;5736.04
2017-10-29 00:00:00;5731.7;6316.85;5683;6137.37;16086.63;96361934.29;5990.19
2017-10-30 00:00:00;6133.01;6229.77;6024.03;6119.99;9574.64;58637080.14;6124.2
2017-10-31 00:00:00;6120;6449.78;6072.81;6434.21;13423.31;84354477.98;6284.18
2017-11-01 00:00:00;6434.24;6756.36;6340.01;6741.59;12967.22;84891427.3;6546.62
2017-11-02 00:00:00;6745.04;7354.1;6700;7030;26514.65;184979262.34;6976.49
2017-11-03 00:00:00;7030;7500;6925.22;7146.82;15999.78;116037544.15;7252.44
2017-11-04 00:00:00;7145.24;7569.9;6994;7388.83;9200.11;66730277.42;7253.2
2017-11-05 00:00:00;7388.79;7590;7275.16;7372.72;9218.33;68631151.85;7445.08
2017-11-06 00:00:00;7373.3;7421.39;6922.07;6967.68;19323.13;138542391.75;7169.77
2017-11-07 00:00:00;6967.64;7244.69;6945;7130.28;11634.27;82632999.59;7102.55
2017-11-08 00:00:00;7131.38;7888;7080.01;7450.32;24679.72;183501327.08;7435.31
2017-11-09 00:00:00;7465.06;7490;7061.2;7148;14799.27;106985408.52;7229.1
2017-11-10 00:00:00;7150.61;7343.18;6429.44;6588.18;26614.28;181284361.1;6811.55
2017-11-11 00:00:00;6588.18;6820;6218;6355.13;14942.7;96800268.09;6478.1
2017-11-12 00:00:00;6355.13;6488.88;5555.55;5870.37;37315.16;225565297.53;6044.87
2017-11-13 00:00:00;5870.03;6775.75;5846;6525.17;27202.28;173971383.56;6395.47
2017-11-14 00:00:00;6524.69;6750;6466.88;6609;12072.05;79508390.54;6586.15
2017-11-15 00:00:00;6609;7350;6609;7294;16869.9;119171192.38;7064.13
2017-11-16 00:00:00;7294;7976.79;7120.85;7846.96;19272.37;145738327.49;7562.03
2017-11-17 00:00:00;7846.96;7997;7528.5;7674.99;17714.37;138124189.43;7797.3
2017-11-18 00:00:00;7675;7858;7431.54;7771.03;7326.81;56264967.21;7679.33
2017-11-19 00:00:00;7775.55;8087.35;7675;8016.58;8307.78;65332064.65;7863.96
2017-11-20 00:00:00;8016.58;8269.99;7900;8226.17;8179.46;66366007.81;8113.74
2017-11-21 00:00:00;8226.14;8354.46;7770;8095.23;13686.51;110811263.49;8096.38
2017-11-22 00:00:00;8095.19;8310.89;8045.76;8214.69;8078.58;66215711.71;8196.45
2017-11-23 00:00:00;8214.69;8279.76;7980;7989;7811.79;63644740.39;8147.26
2017-11-24 00:00:00;7988.96;8340;7876;8199.19;9289.99;75751868.75;8154.14
2017-11-25 00:00:00;8199.83;8737;8114.78;8717.99;11611.67;97628924.79;8407.83
2017-11-26 00:00:00;8718;9366.6;8538.2;9271.06;12021.22;108525815.45;9027.86
2017-11-27 00:00:00;9278.99;9721.7;9267;9708.07;13272.45;126458117.67;9527.86
2017-11-28 00:00:00;9708.06;9968;9582.25;9868.82;11214.93;110496755.85;9852.65
2017-11-29 00:00:00;9877.63;11395;9250;9824.68;33432.34;346949562.2;10377.66
2017-11-30 00:00:00;9833.7;10618.29;9000;9947.67;25433.46;247093850.76;9715.31
2017-12-01 00:00:00;9927.29;10949.89;9370.11;10840.45;16708.03;171881760.62;10287.37
2017-12-02 00:00:00;10840.45;11200;10637.69;10872;9267.16;101270084.38;10927.84
2017-12-03 00:00:00;10875.68;11800.01;10513.16;11250;14238.53;160176290.44;11249.5
2017-12-04 00:00:00;11250;11613.07;10850;11613.07;13621.48;154122917.9;11314.7
2017-12-05 00:00:00;11613.07;11850;11384.25;11677;11875.03;138370076.16;11652.18
2017-12-06 00:00:00;11676.99;13700;11659.8;13623.5;19784.87;250560790.3;12664.26
2017-12-07 00:00:00;13623;16615.62;13085.9;16599.99;25787.68;382694044.13;14840.19
2017-12-08 00:00:00;16599.99;16666.66;13482.42;15800;25473.4;389366035.09;15285.2
2017-12-09 00:00:00;15799.87;15998.5;12701.05;14607.49;16587.47;238909072.56;14402.98
2017-12-10 00:00:00;14601.01;15385;13011;14691;18487.98;263150668;14233.61
2017-12-11 00:00:00;14690.99;17270;14677.19;16470;16583.72;270203844.28;16293.32
2017-12-12 00:00:00;16470;17428.42;15967.29;16650.01;13517.89;227842348.7;16854.87
2017-12-13 00:00:00;16650.01;17107.03;15497.69;16250;17136.71;281640493.79;16434.93
2017-12-14 00:00:00;16245.02;16830.45;15852.69;16404.99;13409.52;219263192.46;16351.3
2017-12-15 00:00:00;16404.99;17934;16337.19;17471.5;18998.39;329337014.76;17335
2017-12-16 00:00:00;17477.98;19377;17269.99;19187.78;9761.22;179906034.64;18430.69
2017-12-17 00:00:00;19187.78;19666;18465;18953;9749.25;186310530.76;19110.24
2017-12-18 00:00:00;18953;19220;17835.2;18940.57;14678.94;273533539.4;18634.42
2017-12-19 00:00:00;18940.58;19160.79;16831.26;17700;21528.14;387206242.38;17986.05
2017-12-20 00:00:00;17700;17950;15343.04;16466.98;31172.23;521350550.61;16724.84
2017-12-21 00:00:00;16466.98;17281.17;15005;15600.01;20377.86;326730689.65;16033.61
2017-12-22 00:00:00;15600;15795.61;11159.93;14009.79;57444.89;772143020.64;13441.46
2017-12-23 00:00:00;13980;15756.22;13496.48;14619;21786.41;322120599.56;14785.39
2017-12-24 00:00:00;14619;14619.1;12488;14157.87;18519.49;250476423.64;13525.02
2017-12-25 00:00:00;14107.87;14650;13210;13911.28;11564.54;161347357.08;13951.9
2017-12-26 00:00:00;13925.5;16147.87;13746.95;15764.44;15051.16;230922569.15;15342.51
2017-12-27 00:00:00;15764.45;16480.52;14484;15364.93;15643.75;241860985.13;15460.55
2017-12-28 00:00:00;15390.05;15474.19;13500;14470.07;16557.22;234428578.54;14158.69
2017-12-29 00:00:00;14436.99;15111;13998;14340;13505.7;195727638.77;14492.22
2017-12-30 00:00:00;14351;14463.28;12050;12640;21749.67;285985550.32;13148.96
2017-12-31 00:00:00;12640;14296.06;12491.21;13880;11583.42;154552644.47;13342.58
2018-01-01 00:00:00;13880;13941.75;12801.38;13443.41;7688.03;102815718.45;13373.48
2018-01-02 00:00:00;13394.2;15257.53;12910.58;14678.94;16299.67;229138844.08;14057.88
2018-01-03 00:00:00;14670.96;15500;14546.28;15155.62;12275;183639413.74;14960.44
2018-01-04 00:00:00;15155.62;15430.27;14192.37;15143.67;15004.02;222160244.49;14806.72
2018-01-05 00:00:00;15143.67;17200;14810;16928;16248.91;259695892.85;15982.35
